rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
43,311.11725,260.31,4.104828,5920,19,5.502828,4.900893,0.549608,4,2.627717,2.666068,0.030
43,403.20764,260.31,3.806858,7,32,5.985801,5.333336,0.477471,5,2.085476,2.494876,0.170
43,344.16606,260.31,4.244772,7061,32,5.788221,5.255780,0.567536,8,2.418181,2.821223,0.108
43,467.15452,260.31,3.738305,3,120,6.477126,5.897812,0.408048,11,2.115713,2.364659,0.031
43,489.23497,260.32,4.095866,7,13,5.298433,5.146045,0.839110,6,2.182527,2.679275,0.318
43,327.16886,260.34,4.781899,8,30,5.433807,4.815243,0.479415,14,2.871779,3.493302,0.004
43,397.17704,260.34,4.104487,5,23,5.143177,4.765103,0.552039,8,2.355830,2.911655,0.032
43,391.15111,260.34,4.315551,4,30,5.228185,4.768301,0.544176,12,2.880293,3.158752,0.222
43,401.16873,260.34,4.915505,8,38,5.346987,4.724223,0.506809,12,3.443153,3.768364,0.018
43,201.05228,260.36,3.986324,3,103,6.716078,5.961328,0.298580,11,3.014403,3.173606,0.047
43,601.25791,260.36,4.709355,5,77,6.492773,5.944943,0.441778,12,3.242122,3.464146,0.359
43,319.26022,260.38,3.788239,3,17,5.252237,4.994880,0.760157,11,2.017980,2.480527,0.106
43,522.28439,260.41,4.304706,2,65,6.521790,5.961328,0.467035,11,2.741267,3.078936,0.027
43,245.11272,260.46,4.565139,6,13,4.703336,4.125937,0.526922,7,3.030149,3.149317,0.483
43,219.06255,260.49,4.278982,7,78,6.590188,6.022337,0.406139,9,3.224161,3.425110,0.030
43,434.27098,260.50,3.896195,7,115,6.529691,5.944943,0.405776,11,2.673364,2.948413,0.044
43,575.20477,260.50,4.221675,5,54,6.197660,5.279678,0.308824,11,2.678162,2.948909,0.039
43,632.26418,260.50,4.369958,6,62,6.459934,5.944943,0.476478,11,2.801045,3.257458,0.148
43,295.07112,260.54,4.104146,5,22,5.268200,4.765103,0.544149,12,2.156572,2.864499,0.026
43,436.23003,260.55,4.842796,9,17,5.255511,4.994880,0.754448,12,3.151973,3.527681,0.099
43,267.15611,260.55,4.598900,3,66,6.483061,6.005753,0.515517,11,3.336161,3.584656,0.131
43,315.13203,260.56,4.193959,10,29,5.387090,4.768301,0.472476,11,2.604243,2.983467,0.051
43,347.12225,260.87,3.974650,3180,46,6.388974,6.005753,0.616509,19,2.027826,2.504701,0.043
